2025-07-24 01:19:23.241867, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.260145, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.294993, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.321320, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.344006, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.366379, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.400340, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.424998, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.450185, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.476936, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.571886, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.603709, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.626660, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.649188, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.676593, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.701523, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.726071, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.759772, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.793232, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.823885, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.843140, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.877138, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.899241, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.926059, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.959064, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.982923, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:24.009301, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:24.038174, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:24.059986, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:24.100135, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:24.126035, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:24.148300, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:24.177689, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:24.215732, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:24:13.026192, AAPL, 213.60, BUY, 93, 212.5308066558838, 0.00
2025-07-24 01:24:18.060836, AAPL, 213.60, BUY, 93, 212.5308066558838, 0.00
